idData;nrOrders;nrPostMen;idOrder;idPostMan;maxLoad;currentLoad;activeOrder;personalGain;distance;goingToPostOfiice;estimatedTime;proposal;decision
315;28;11;29;9;7;0;1;1.6;21.482371435058937;1;48;0.8704000000000001;1
316;28;11;29;7;7;0;0;1.8;23.26743105426115;0;48;1.0062;0
317;28;11;29;8;7;0;0;1.7;32.14077356922292;0;48;1.3124;0
318;28;11;29;1;10;0;0;1.3;32.76152380586565;0;48;1.0231;0
319;28;11;29;5;7;0;0;2;24.347794081212054;0;48;1.17;0
320;30;11;30;5;7;0;0;2;20.300094096673366;0;48;0.974;0
321;29;11;30;7;7;0;0;1.8;19.21973106972246;0;48;0.8298000000000001;0
322;29;11;30;8;7;0;0;1.7;28.093073584684234;0;48;1.1458;0
323;29;11;30;11;7;0;0;2.4;19.118498982556876;0;48;1.0992;0
324;29;11;30;10;7;0;0;2.2;17.846307791553915;0;48;0.9416000000000001;0
325;29;11;30;4;7;6;7;1.1;24.296028895076354;0;48;1.2826;0
326;29;11;30;6;7;0;0;1.9;18.474062604272998;0;48;0.8417;1
327;29;11;30;3;4;3;4;1.5;21.60528677180674;0;48;1.554;0
328;30;11;30;9;7;1;1;1.6;18.045235368587917;0;48;0.6928000000000001;0
329;29;11;30;2;9;1;1;1.4;31.730697171047197;0;48;1.0654;0
330;29;11;30;1;10;0;0;1.3;28.71382382132696;0;48;0.8957;0
331;30;11;31;5;7;0;0;2;13.177721492573706;0;36;0.632;0
332;31;11;31;1;10;0;0;1.3;21.5914512172273;0;36;0.6734;0
333;31;11;31;10;7;0;0;2.2;10.723935187454252;0;36;0.5654;0
334;30;11;31;9;7;1;2;1.6;14.297862764488254;0;36;0.5488;0
335;30;11;31;2;9;1;1;1.4;26.002540979491783;0;36;0.8735999999999999;0
336;30;11;31;8;7;0;0;1.7;20.970700980584574;0;36;0.8551;0
337;30;11;31;6;7;0;0;1.9;11.351690000173335;0;36;0.5168;0
338;30;11;31;7;7;0;0;1.8;12.0973584656228;0;36;0.522;0
339;31;11;31;4;7;6;7;1.1;19.190217723144002;0;36;1.012;1
340;30;11;31;3;4;3;4;1.5;17.85791416770708;0;36;1.284;0
